code,name,description,credits
417,Corporate and Managerial Communication,"Developing student's expertise in interpreting and communicating accounting and financial information to business professionals.  ACCTG 417 Corporate and Managerial Communication (2-3) This course provides an opportunity for business students to develop oral, graphic, and written communication skills essential to success in a corporate environment, with emphasis on corporate accounting, finance, and/or consulting contexts. The course provides a framework for understanding the characteristics of effective business communication. It further provides guidelines for the successful development and delivery of professional messages. This course employs individual and team activities designed to strengthen skills in the development and delivery of corporate messages. Participants will gain experience analyzing and discussing financial and accounting data, evaluate and prepare professional responses to corporate problems/opportunities, and develop strategies for conversing with multiple business audiences. Specific selection of topics will evolve to reflect current issues in business, finance, and accounting.",3
422,Accounting Systems,"Understanding flow and documentation of accounting information and internal controls in the context of accounting cycles. ACCTG 422 Accounting Systems (3) This course primarily investigates accounting transactions cycles-processes and procedures by which an organization's financial information is recorded, processed, reported, and disposed of. The processes covered in this course range from manual to fully automated and Web-enabled systems. The documentation and analysis of the accounting cycles for the revenue, expenditure, conversion, and managerial reporting areas are explored via flowcharts and narrative descriptions. The concepts of files, transaction updates, editing, and reporting in the automated accounting systems are explored. The course also covers internal controls in the manual and automated systems. Additional topics may include fraud examination, applicable laws and regulations, and computerized auditing.",3
426,Financial Statement Analysis,"The exploration of conventional and advanced methods of analyzing financial statements, including the assessment of earnings quality. ACCTG 426 Financial Statement Analysis (3) The objective of this course is to explore conventional and advanced analytical methods of analyzing financial statements. Expanding on the material covered in the principles of accounting and principles of finance courses and using actual financial statements, students: review and apply the traditional methods for analyzing financial statements, such as ratio analysis, trend analysis, and common-size analysis, apply advanced tools for analyzing financial statements, such as financial distress prediction models and earning manipulation prediction models, and evaluate accounting policies and disclosures and their impact on the financial statements through the assessment of earnings quality.",3
431,Advanced Auditing,"Examination of legal liability, EDP, statistical sampling, SEC reporting, internal control, and financial reporting in specialized industries.",3
432,Accounting Information Systems,"Accounting data are utilized as information in making decisions and as a control mechanism. The focus of this course, however, will be upon the actual production of accounting data. The purpose of the course is to learn how accountants collect relevant data and transform them into reports appropriate for managers and external readers. Procedural details will focus first on the traditional accounting cycle and the journal entries for business transactions and events. Then we shall examine in detail the principle accounting cycles: sales cycle, cash receipts cycle, purchases cycle, cash disbursements cycle, payroll cycle, facilities cycle, general ledger cycle, production cycle. For each cycle, you should be able to explain the relation of the accounting process to the business enterprise, the basic journal entries, the basic internal control features, and the document flow.",3
440,Advanced Management Accounting,"Management accounting topics such as decision models, quantitative techniques, variance analysis, and their use in accounting.  ACCTG 440 Advanced Management Accounting (3) An in-depth examination of accounting techniques used within modern organizations. The course is designed for students interested in pursuing careers in corporate accounting or financial management. The portfolio of managerial accounting procedures, including cost measurement and allocation, budgeting practices, transfer pricing, and variance analyses appropriate to an organization's unique circumstances are derived. The student will learn to apply psychological and sociological theories of behavior to practical problems of control and to apply quantitative methods and models to managerial decision-making. Other topics covered by the course may include, financial management of working capital, long-term assets and liabilities; techniques for managing inventory; and strategic cost management including inter-organizational cost management.",3
450,Advanced Accounting,"Accounting theory and practice for business combinations, branches, international operations, partnerships, consolidated financial statements, corporate liquidations, nonprofit organizations, estates, and trusts.",3
461,International Accounting,"Study of international accounting issues with emphasis on need, use, and interpretation of financial accounting required in global business environment.",3
462,Governmental and Not-for-Profit Accounting,"Provides an understanding of governmental and not-for-profit accounting theory, procedures, and financial statements.",3
471,Intermediate Financial Accounting I,"Theory and practice issues in income concepts and value measurement; GAAP; revenues, costs, assets, liabilities, and equities. ACCTG 471 Intermediate Accounting I (3) This course provides students with an understanding of generally accepted accounting principles and procedures so that they properly account for and present information in financial statements prepared for external users. The student should acquire a complete understanding of the accounting issues relating to cash, receivables, inventory, plant assets, natural resources, and intangibles. The student should be able to evaluate alternative accounting methods and choose the methods which will best convey the financial information related to the above areas. The student should be able to apply appropriate generally accepted accounting principles and procedures to account for transactions related to the above asset areas. The student should be able to demonstrate an understanding of the transaction analysis, recording, classification, summarization, and reporting procedures in the accounting cycle, and an understanding of the information contained in the financial statements. Finally, student should be able to demonstrate written communication skills required of accountants.",3
472,Intermediate Financial Accounting II,"Off-balance-sheet financing; special issues in cost capitalization, liabilities, and equities; matching; funds flow statements; statement analysis; inflation accounting.",3
473,Advanced Financial Accounting,"Reporting for multi-corporate enterprises, business combinations, quasi- reorganizations, and selected contemporary reporting problems. ACCTG 473 Advanced Financial Accounting (3) This course explores four major topics: accounting for business combinations, introduction to derivatives and special purpose entities, accounting for foreign currency transactions and consolidating foreign subsidiaries, and ethics and policy issues for the profession.",3
481,Financial Statement Analysis: Accounting Based Evaluation and Decision     Making,"An accounting based evaluation and decision making approach to analyzing financial statements by studying business and firm valuation. ACCTG 481 Financial Statement Analysis (3) The proposed course in financial statement analysis is structured to improve the student's ability to extract and interpret information from actual financial statements and to expose the student to how financial statement information is integrated into equity valuation and credit analysis. The course would not only rely upon textbook-based and lecture-based learning, but also emphasize case-based learning.The course will consist of two main sections. The first will deal with accounting and business analysis. This part will explore the types of financial information data typically available for publicly traded companies and introduce a model of the economic drivers of company performance. It would incorporate some technical accounting as well as some standards business economics/strategy concepts. Students will be forced to recast financial statements that they believe do not reflect the underlying economic state of the company. Financial reporting issues relating to revenue and expense recognition, leases and consolidations will be discussed.The other section of the course will deal with firm valuation. Students would be exposed to some standard approaches to equity valuation and the analysis activities underlying these approaches. Aspects of valuation that would be covered in this section of the course are financial ratio analysis, forecasting, pro-forma statements, cost of capital and valuation methods.The course will rely on lectures and extensive use of case studies.",3
483,Forensic Accounting,"Study of investigative accounting, consulting and litigation support activities undertaken in forensic accounting engagements.  ACCTG 483 Forensic Accounting (3) ACCTG 483 is the exploration of the broad discipline known as ""forensic accounting"" which includes a variety of investigative accounting, valuation, damage assessment and litigation support services. Forensic accounting is an evolving discipline which is distinguished from assurance services in that it does not involve reporting on the fairness of financial statements. It generally involves the investigation and analysis of financial data for some specific purpose - obtaining an in-depth understanding of information that enables the forensic accountant to prove, disprove or at least confidently speculate about allegations related to the information and to report those findings objectively. Forensic accountants are involved in presenting analyses that might be valuable for such things as settling legal disputes, calculating economic damages, valuing intellectual property, determining the extent of damage or loss due to fraud, or tracing elusive assets or revenue sources. A forensic accountant might also participate in pro-active engagements such as the development of systems and procedures to prevent fraud. The first part of the course deals with the technical and ethical framework of forensic accounting and focuses on the understanding of forensic and investigative accounting including investigation methodology, the nature of fraud, fraud risk factors, financial statement fraud, litigation support and dispute resolution services and development of the skills needed in those professional activities. These skills include the ability to integrate knowledge of accounting, finance, economics, business law and other business disciplines in gathering, analyzing and evaluating evidence and drawing conclusions. The second part of the course focuses on forensic accounting investigation and analysis of financial information in connection with litigation, dispute resolution, estimation of economic damages, or other specific objectives, and the preparation of comprehensive, objective reports of findings and conclusions.",3
494,Research Project,Supervised student activities on research projects identified on an individual or small-group basis.,12
494,Research Project,"Supervised student activities on research projects identified on an individual or small-group basis. ACCTG 494H Research Project (1-6) ACCTG 494H, Senior Honors Thesis in Accounting - Investigation of an original problem area associated with accounting, including literature review. A thesis topic must be approved and a thesis supervisor must be identified before the course may be scheduled. Students sign up for three credits in each of their last two semesters for a total of six credits.",6
495,Internship,"Supervised off-campus, nongroup instruction including field experiences, practica, or internships.  Written and oral critique of activity required.",18
496,Independent Studies,"Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.",18
497,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",9
498,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.      .",9
499,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,12
1,Aerospace Explorer--First-Year Seminar,"First-Year Seminar explores aerodynamics, structural mechanics, flight mechanics, rotorcraft systems, high performance computers, air/space propulsion, and space systems. AERSP 1 Aerospace Explorer--First-Year Seminar (1) (FYS)Aerospace Engineering deals with vehicles that fly -- airplanes, sailplanes, jets, helicopters, rockets, satellites, the space shuttle, space stations, etc. Students with an interest in these subjects can learn more about the variety of challenges and opportunities in the aerospace field through the small-class environment of the Aerospace Explorer First-Year Seminar.An introduction to both the academic major and career paths in Aerospace Engineering, this seminar deals with the design, analysis and operation of aircraft and space vehicles. Students will learn about aerodynamics, structural mechanics, flight mechanics, rotorcraft systems, high performance computers, air-breathing propulsion, space propulsion, and space systems. The classes will include presentations by the Aerospace Engineering faculty, tours of the Aerospace Engineering laboratories, and presentations by student officers in the Penn State chapters of the American Institute of Aeronautics and Astronautics (AIAA) and the American Helicopter Society (AHS), as well as introductions to the use of scientific plotting, graphing, and analysis software.",1
55,Space Science and Technology,"The science and technology of space exploration and exploitation; physical principles; research and development; history, space policy, and social implications.",3
97,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",9
204,Flight Vehicle Design and Fabrication I,"Integrated project management, design, fabrication, testing, and flight evaluation of an advanced composite flight vehicle.",2
301,Aerospace Structures,"Aerospace structural design concepts, flight safety. Stiffness, strength, stability of thin-walled structures under combined loads. Energy methods, finite element analysis. AERSP 301 Aerospace Structures (3) AERSP 301 covers essential topics in aerospace structures. The objectives of the course are to help students: 1) appreciate the roles that structures and structural materials play in aerospace vehicles; 2) understand general design concepts for aerospace structures: vehicles, components, and materials; 3) develop the analysis tools and skills needed to analyze the performance of aerospace structures; and 4) gain experience identifying, formulating, and solving aerospace structural engineering problems. AERSP 301 builds on structural mechanics topics from required foundational courses in mechanics, statics, dynamics and strength of materials. It prepares students for study of advanced topics such as plates and shells, composites, structural stability, finite element analysis, structural dynamics, and aeroelasticity. It also provides students with the basic background needed to contribute effectively to multidisciplinary trade studies in vehicle design activities. AERSP 301 begins with an overview of the general features of flight vehicle structures, with emphasis on thin-walled members and advanced materials. Then, the implications of assured safety of flight for structural design are explored, leading to coverage of: load cases, flight envelopes, load factors, factors of safety, kinds of structural failures, and margins of safety. Topics in structural analysis proceed from an initial review of topics in elasticity, structural materials, and beam bending. Then, the deflection and stress responses of thin-walled beams under transverse shear and torsional loading are addressed. More than a third of the course is devoted to energy principles and the development of the finite element method of structural analysis. The course finishes with a treatment of the structural stability of beams and panels, a key topic with respect to the behavior of thin-walled aerospace structures.",3
304,Dynamics and Control of Aerospace Systems,"Vibrations of single, multiple, and infinite degree-of-freedom systems; operational methods applied to aerospace vehicles; design of controllers.",3
305,Aerospace Technology Laboratory,"Experiments in measurement systems, aerodynamics, aerospace structures, dynamics and control, and propulsion, technical report writing and presentations. AERSP 305 Aerospace Technology Laboratory (3) AERSP 305 is a junior-level experimental laboratory course in Aerospace Engineering. The purpose of this course is to expose students to the key principles and methods of experimentation as related to the field of aerospace engineering. Students learn the fundamentals of measurement techniques to determine quantities such as temperature, force, pressure, displacement, velocity, acceleration and strain in various laboratory situations. The course employs weekly ""set-up"" experiments that provide an opportunity for students to familiarize themselves with modern measurement techniques and gain valuable experience regarding the calibration and use of aerospace engineering research equipment. Students are expected to apply their knowledge of mathematics, science, and engineering in order to complete successfully the experiments encountered in the laboratory. The subsequent interpretation and analysis of the laboratory data requires the use of standard engineering tools and practices. Students work in lab groups to process data and then identify, formulate, and solve engineering questions associated with the experimental results.Throughout the semester, students communicate their knowledge and understanding of the course material through a series of class assignments, written technical reports, and one final exam. Because writing and revising laboratory reports significantly enhances the understanding and interpretation of the research data, this course is ""writing-intensive."" As such, students are expected to improve their writing skills as they gain experience writing abstracts, informal reports and formal reports. Peer review of reports helps students to recognize good writing, and to learn how to provide constructive criticism. The course instructor provides written feedback for revised formal reports, and the quality of writing is a factor in determining final grades.",3
306,Aeronautics,Lift and drag characteristics of aircraft; propulsion systems; airplane performance; introduction to stability and control.,3
308,Mechanics of Fluids,Kinetics and dynamics of fluids; perfect fluid theory using complex variables; introduction to viscous flow theory; fundamentals of compressible flow.,3
309,Astronautics,"Introduction to space and space flight; laws of particle mechanics; orbits and trajectories; space vehicles and propulsion. AERSP 309 Astronautics (3) This course, required for aerospace engineering majors, focuses primarily on the dynamics of spaceflight, including both orbital and attitude (orientation) motion of spacecraft. Topics include: three-dimensional rotational kinematics (direction cosine matrices, vector components in different coordinate systems, Euler angles, the angular velocity vector, and velocity and acceleration in different reference frames), three-dimensional particle dynamics (Newton's laws of particle motion, energy, angular momentum, and systems of particles), two-body orbital mechanics (Newton's law of universal gravitation, the orbit equation, conic sections and orbit terminology, Kepler's equation, classical orbital elements, and representations of satellite position and velocity), orbital maneuvers and transfers (impulsive maneuvers, Hohmann transfers, simple inclination changes, and relative motion between spacecraft), rigid-body dynamics (angular momentum and energy, the inertia matrix, principal-axis system, Euler's equations of rigid-body motion, torque-free motion, and effects of external torques), rocket performance (the rocket equation, specific impulse, estimating propellant requirements for a mission, and a survey of propulsion technology), and the space environment (standard atmosphere, simple radiative heat-transfer analysis, the Van Allen radiation belts, meteors and debris hazards). The course relies upon a sound understanding of mechanics, matrix algebra and vector calculus. Assignments include analytical and numerical problems, some of which require computer programming.",3
311,Aerodynamics I,"Fluid statics and kinematics; fluid dynamics of inviscid and viscous flows; Navier-Stokes equations; introduction to boundary layers. AERSP 311 Aerodynamics I (3) This is a first course in incompressible inviscid and viscous flows. It includes an introduction to fluids, fluid statics and hydrostatics. Fluid kinematics, including Eulerian versus Lagrangian viewpoint, steady versus unsteady flows, volume and mass flow rates, vorticity and circulation, and streamlines are described. Derivation of the governing equations for the conservation of mass, momentum and energy is presented. Dimensional analysis is covered. Potential flow with and without the effects of viscosity is analyzed. A derivation and exact solutions of the Navier-Stokes equations are given and boundary layers are introduced. This is the first of a two course sequence in aerodynamics, where both courses are required for senior-year propulsion and design courses. Evaluation of student performance will be by two midterm exams worth approximately 25% each, a final exam worth approximately 35% and weekly homework assignments worth approximately 15%.",3
312,Aerodynamics II,"Fluid mechanics of viscous and compressible flows, laminar boundary layers, turbulent flows, isentropic flows, shock waves, supersonic life and drag.  AERSP 312 Aerodynamics II (3) Exact solutions of the Navier-Stokes equations for unsteady flow. Boundary layers solved by the methods of Blasius, Falkner-Skan and Thwaites. Boundary layer stability and transition to turbulence. Turbulent flow and solution methods. Fluid flow measurement techniques and numerical methods. Derivation of the governing equations for the conservation of mass, momentum and energy for compressible flow. Steady one-dimensional isentropic flow. Normal, traveling and oblique shock waves. Compressible flow with area change and converging-diverging nozzle flows. Prandtl-Meyer expansions and supersonic life and drag. One-dimensional flow with friction or heat transfer. Unsteady and linearized compressible flow. Introduction to the method of characteristics. This is the second of a two course sequence in aerodynamics and is a prerequisite for senior level courses in propulsion and design. Evaluation of student performance will be by two midterm exams worth approximately 25% each, a final exam worth approximately 35% and weekly homework assignments worth approximately 15%.",3
313,Aerospace Analysis,"Mathematical methods applied to aerospace engineering: Fourier series, ordinary and partial differential equations, complex variables, numerical methods, data analysis.  AERSP 313 Aerospace Analysis (3) This course is designed to reinforce the mathematical concepts learned in the prerequisite mathematics and computer science courses and to present new mathematical material that is necessary for aeronautics, astronautics, dynamics and control, and fluid dynamics analysis. In practice, analytical and numerical approaches to problems solving are complementary, hence, this course will emphasize a combined analytical and numerical treatment.",3
397,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",18
399,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,12
401,Spacecraft Design--Preliminary,"Conceptual and preliminary design of a spacecraft, its constituent subsystems, and related systems, to satisfy a given set of specifications.  AERSP 401A Spacecraft Design - Preliminary (3) AERSP 401A is the first of a two-semester sequence of senior capstone design courses. In this course, students will begin to learn the design process, complete a conceptual design, and to begin a preliminary design of a spacecraft, working in teams. This process is inherently multidisciplinary, requiring the use of engineering practices in such subjects as structures, dynamics, electrical and thermal systems, propulsion, controls, and information systems. In addition to the technical design content, this course seeks to enhance students' skills in verbal and written communications, ethical thinking, and the team approach to design, which is widely used in industry and government. Classes (115 minutes each, twice weekly) include lecture and time for team meetings. Students are evaluated on the technical merit of the designs (presented in written and oral reports), as well as their ability to function on a team.",3
401,Spacecraft Design--Detailed,"Detailed design of the constituent subsystems and related support systems for a spacecraft.  AERSP 401B Spacecraft Design -- Detailed (2) AERSP 401B is the second of a two-semester sequence of senior capstone design courses. In this course, students work in teams, continuing the design process begun in AERSP 401A. This process is inherently multidisciplinary, requiring the use of engineering practices in such subjects as structures, dynamics, electrical and thermal systems, propulsion, controls, and information systems. In addition to the technical design content, this course seeks to enhance students' skills in verbal and written communications, and the team approach to design, which is widely used in industry and government. Classes (115 minutes each, twice weekly) include lecture and time for team meetings.",2
402,Aircraft Design--Preliminary,"Conceptual and preliminary design of an aircraft, its constituent subsystems, and related systems, to satisfy a given set of specifications.  AERSP 402A Aircraft Design -- Preliminary (3) AERSP 402A is the first of a two-semester sequence of senior capstone design courses. In this course, students will complete the preliminary design for an aircraft such that it satisfies the assigned specifications. Students completing this course will have the ability to design a system, component, or process to meet desired needs in aircraft systems; they will have the ability to function on multi-disciplinary teams; and they will have the ability to identify, formulate, and solve engineering problems. In addition, students will have the background to help determine what the ethical responsibilities are to themselves, to employers, and to society. Classes (115 minutes each, twice weekly) include lecture and time for team meetings.",3
402,Aircraft Design--Detailed,"Detailed design of the constituent subsystems and related support systems for an aircraft.  AERSP 402B Aircraft Design - Detailed (2) AERSP 402B is the second of a two-semester sequence of senior capstone design courses. In this course, students will complete the detailed design for an aircraft, and all of its constituent and related support systems, such that it satisfies the assigned specifications. Students completing this course will have the ability to design a system, component, or process to meet desired needs in aircraft systems; they will have the ability to function on multi-disciplinary teams; and they will have the ability to identify, formulate, and solve the associated engineering problems. Classes (115 minutes each, twice weekly) include lecture and time for team meetings.",2
404,Flight Vehicle Design and Fabrication II,"Project management, design, fabrication, aerodynamic and structural testing, and flight evaluation of an advanced composite flight vehicle.",3
